cell,composition,contention,seed,policy,utility_family,workload_hash,scenario_hash,agent,archetype,priority,completion,mandatory_failures,optional_refinement_rate,quality,backend_calls,blocked_calls,allocated,charged,unused,exhausted
homogeneous__moderate,homogeneous,moderate,257555101,drf,none,bb6f1a259c5f859d,4aa79175118288f8,a4,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,drf,none,bb6f1a259c5f859d,4aa79175118288f8,a5,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 60}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 3}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,decomposed_cobb_douglas,COBB_DOUGLAS,bb6f1a259c5f859d,4aa79175118288f8,a0,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 127, ""MEMORY"": 97, ""DATASET"": 7, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 9, ""MEMORY"": 9, ""DATASET"": 7, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,decomposed_cobb_douglas,COBB_DOUGLAS,bb6f1a259c5f859d,4aa79175118288f8,a1,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,decomposed_cobb_douglas,COBB_DOUGLAS,bb6f1a259c5f859d,4aa79175118288f8,a2,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,decomposed_cobb_douglas,COBB_DOUGLAS,bb6f1a259c5f859d,4aa79175118288f8,a3,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,decomposed_cobb_douglas,COBB_DOUGLAS,bb6f1a259c5f859d,4aa79175118288f8,a4,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,decomposed_cobb_douglas,COBB_DOUGLAS,bb6f1a259c5f859d,4aa79175118288f8,a5,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 60}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 3}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_linear,LINEAR,bb6f1a259c5f859d,4aa79175118288f8,a0,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_linear,LINEAR,bb6f1a259c5f859d,4aa79175118288f8,a1,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 60}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 3}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_linear,LINEAR,bb6f1a259c5f859d,4aa79175118288f8,a2,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 127, ""MEMORY"": 97, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 9, ""MEMORY"": 9, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_linear,LINEAR,bb6f1a259c5f859d,4aa79175118288f8,a3,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 7, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 7, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_linear,LINEAR,bb6f1a259c5f859d,4aa79175118288f8,a4,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_linear,LINEAR,bb6f1a259c5f859d,4aa79175118288f8,a5,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_cobb_douglas,COBB_DOUGLAS,bb6f1a259c5f859d,4aa79175118288f8,a0,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 127, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 60}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 9, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 3}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_cobb_douglas,COBB_DOUGLAS,bb6f1a259c5f859d,4aa79175118288f8,a1,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 97, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 9, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_cobb_douglas,COBB_DOUGLAS,bb6f1a259c5f859d,4aa79175118288f8,a2,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 7, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 7, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_cobb_douglas,COBB_DOUGLAS,bb6f1a259c5f859d,4aa79175118288f8,a3,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_cobb_douglas,COBB_DOUGLAS,bb6f1a259c5f859d,4aa79175118288f8,a4,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_cobb_douglas,COBB_DOUGLAS,bb6f1a259c5f859d,4aa79175118288f8,a5,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_ces,CES,bb6f1a259c5f859d,4aa79175118288f8,a0,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_ces,CES,bb6f1a259c5f859d,4aa79175118288f8,a1,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_ces,CES,bb6f1a259c5f859d,4aa79175118288f8,a2,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 60}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 3}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_ces,CES,bb6f1a259c5f859d,4aa79175118288f8,a3,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 127, ""MEMORY"": 97, ""DATASET"": 7, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 9, ""MEMORY"": 9, ""DATASET"": 7, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_ces,CES,bb6f1a259c5f859d,4aa79175118288f8,a4,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_ces,CES,bb6f1a259c5f859d,4aa79175118288f8,a5,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_leontief,LEONTIEF,bb6f1a259c5f859d,4aa79175118288f8,a0,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_leontief,LEONTIEF,bb6f1a259c5f859d,4aa79175118288f8,a1,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 60}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 3}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_leontief,LEONTIEF,bb6f1a259c5f859d,4aa79175118288f8,a2,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 127, ""MEMORY"": 97, ""DATASET"": 7, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 9, ""MEMORY"": 9, ""DATASET"": 7, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_leontief,LEONTIEF,bb6f1a259c5f859d,4aa79175118288f8,a3,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_leontief,LEONTIEF,bb6f1a259c5f859d,4aa79175118288f8,a4,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,joint_leontief,LEONTIEF,bb6f1a259c5f859d,4aa79175118288f8,a5,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,2202472669,equal,none,55c100b2bcfc5373,43d7a98f80e553aa,a0,code_review+doc_processing+monitoring+research,1.0,0.75,2,0.25,0.53125,14,3,"{""COMPUTE"": 102, ""MEMORY"": 91, ""DATASET"": 37, ""API_CREDITS"": 42}","{""COMPUTE"": 98, ""MEMORY"": 86, ""DATASET"": 32, ""API_CREDITS"": 40}","{""COMPUTE"": 4, ""MEMORY"": 5, ""DATASET"": 5, ""API_CREDITS"": 2}","{""COMPUTE"": 4, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,2202472669,equal,none,55c100b2bcfc5373,43d7a98f80e553aa,a1,code_review+doc_processing+monitoring+research,1.0,0.75,2,0.25,0.53125,14,3,"{""COMPUTE"": 102, ""MEMORY"": 91, ""DATASET"": 37, ""API_CREDITS"": 42}","{""COMPUTE"": 98, ""MEMORY"": 86, ""DATASET"": 32, ""API_CREDITS"": 40}","{""COMPUTE"": 4, ""MEMORY"": 5, ""DATASET"": 5, ""API_CREDITS"": 2}","{""COMPUTE"": 4, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,2202472669,equal,none,55c100b2bcfc5373,43d7a98f80e553aa,a2,code_review+doc_processing+monitoring+research,1.0,0.75,2,0.25,0.53125,14,3,"{""COMPUTE"": 102, ""MEMORY"": 91, ""DATASET"": 37, ""API_CREDITS"": 42}","{""COMPUTE"": 98, ""MEMORY"": 86, ""DATASET"": 32, ""API_CREDITS"": 40}","{""COMPUTE"": 4, ""MEMORY"": 5, ""DATASET"": 5, ""API_CREDITS"": 2}","{""COMPUTE"": 4, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,2202472669,equal,none,55c100b2bcfc5373,43d7a98f80e553aa,a3,code_review+doc_processing+monitoring+research,1.0,0.75,2,0.25,0.53125,14,3,"{""COMPUTE"": 101, ""MEMORY"": 91, ""DATASET"": 37, ""API_CREDITS"": 41}","{""COMPUTE"": 98, ""MEMORY"": 86, ""DATASET"": 32, ""API_CREDITS"": 40}","{""COMPUTE"": 3, ""MEMORY"": 5, ""DATASET"": 5, ""API_CREDITS"": 1}","{""COMPUTE"": 4, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,2202472669,equal,none,55c100b2bcfc5373,43d7a98f80e553aa,a4,code_review+doc_processing+monitoring+research,1.0,0.75,2,0.25,0.53125,14,3,"{""COMPUTE"": 101, ""MEMORY"": 91, ""DATASET"": 37, ""API_CREDITS"": 41}","{""COMPUTE"": 98, ""MEMORY"": 86, ""DATASET"": 32, ""API_CREDITS"": 40}","{""COMPUTE"": 3, ""MEMORY"": 5, ""DATASET"": 5, ""API_CREDITS"": 1}","{""COMPUTE"": 4, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,2202472669,equal,none,55c100b2bcfc5373,43d7a98f80e553aa,a5,code_review+doc_processing+monitoring+research,1.0,0.75,2,0.25,0.53125,14,3,"{""COMPUTE"": 101, ""MEMORY"": 90, ""DATASET"": 37, ""API_CREDITS"": 41}","{""COMPUTE"": 98, ""MEMORY"": 86, ""DATASET"": 32, ""API_CREDITS"": 40}","{""COMPUTE"": 3, ""MEMORY"": 4, ""DATASET"": 5, ""API_CREDITS"": 1}","{""COMPUTE"": 4, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,2202472669,drf,none,55c100b2bcfc5373,43d7a98f80e553aa,a0,code_review+doc_processing+monitoring+research,1.0,0.75,2,0.25,0.53125,14,3,"{""COMPUTE"": 102, ""MEMORY"": 91, ""DATASET"": 37, ""API_CREDITS"": 42}","{""COMPUTE"": 98, ""MEMORY"": 86, ""DATASET"": 32, ""API_CREDITS"": 40}","{""COMPUTE"": 4, ""MEMORY"": 5, ""DATASET"": 5, ""API_CREDITS"": 2}","{""COMPUTE"": 4, ""DATASET"": 1}"
