cell,delta,contention,contention_ratio,seed,task_workload_hash,capacity_by_resource,realized_contention_by_resource,active_resource_count,drift_source_total,changed_identities_total,task_mixture_tv_from_baseline_mean,mand_demand_tv_mean_pairwise,task_entropy_mean,cross_agent_dissimilarity,staleness_error_mean,calibration_error_mean,latent_oracle_error_mean
delta0.00__high,0.0,high,1.9,139216186,bc7811a4fe4a9cfb,"{""COMPUTE"": 365, ""MEMORY"": 309, ""API_CREDITS"": 158, ""DATASET"": 87}","{""COMPUTE"": 1.8465753424657534, ""MEMORY"": 1.838187702265372, ""API_CREDITS"": 1.8227848101265822, ""DATASET"": 1.839080459770115}",4,0,0,0.0,0.16028083028083032,0.3721744024822293,0.10810231435231436,10.399064679331628,14.498106388247486,21.926318550885465
delta0.00__high,0.0,high,1.9,139730805,a5515c8b010cbda9,"{""COMPUTE"": 546, ""MEMORY"": 430, ""API_CREDITS"": 261, ""DATASET"": 58}","{""COMPUTE"": 1.879120879120879, ""MEMORY"": 1.8837209302325582, ""API_CREDITS"": 1.8773946360153257, ""DATASET"": 1.9310344827586208}",4,0,0,0.0,0.06779331779331779,0.19003438637734515,0.04911292411292412,8.106611735870437,6.46065224193985,4.8917396088915295
delta0.00__high,0.0,high,1.9,147261721,a8fffd2c31b5ca96,"{""COMPUTE"": 450, ""MEMORY"": 364, ""API_CREDITS"": 210, ""DATASET"": 68}","{""COMPUTE"": 1.7866666666666666, ""MEMORY"": 1.8076923076923077, ""API_CREDITS"": 1.723809523809524, ""DATASET"": 2.1176470588235294}",4,0,0,0.0,0.13736926228854773,0.20359931584907484,0.09539611267890075,14.138596985817259,13.257023812836998,25.47472117221719
delta0.00__high,0.0,high,1.9,152599165,1aaf0a91e80939a3,"{""COMPUTE"": 523, ""MEMORY"": 429, ""API_CREDITS"": 258, ""DATASET"": 83}","{""COMPUTE"": 1.9617590822179731, ""MEMORY"": 1.9580419580419581, ""API_CREDITS"": 1.9689922480620154, ""DATASET"": 1.927710843373494}",4,0,0,0.0,0.06654905717405717,0.36184366229644754,0.04295910155285156,21.54059987844714,25.16807151869965,29.96062066264599
delta0.00__high,0.0,high,1.9,153676091,3983b8bcb5c5a230,"{""COMPUTE"": 488, ""MEMORY"": 407, ""API_CREDITS"": 246, ""DATASET"": 86}","{""COMPUTE"": 1.8770491803278688, ""MEMORY"": 1.8771498771498771, ""API_CREDITS"": 1.886178861788618, ""DATASET"": 1.8604651162790697}",4,0,0,0.0,0.0660584827251494,0.1803817756532856,0.04915711165711165,9.38927884361159,5.833723288056034,8.690696956202034
delta0.00__high,0.0,high,1.9,173143613,6ae6be4b7bbbd3d9,"{""COMPUTE"": 249, ""MEMORY"": 219, ""API_CREDITS"": 115, ""DATASET"": 67}","{""COMPUTE"": 1.8473895582329318, ""MEMORY"": 1.8630136986301369, ""API_CREDITS"": 1.8434782608695652, ""DATASET"": 1.9104477611940298}",4,0,0,0.0,0.1727920227920228,0.09627143529197048,0.14245014245014245,3.8851423920046035,3.4962535031157156,5.345113081669404
delta0.00__high,0.0,high,1.9,190642350,d0295d8d72966b39,"{""COMPUTE"": 511, ""MEMORY"": 429, ""API_CREDITS"": 227, ""DATASET"": 120}","{""COMPUTE"": 1.8630136986301369, ""MEMORY"": 1.878787878787879, ""API_CREDITS"": 1.841409691629956, ""DATASET"": 2.0}",4,0,0,0.0,0.10684813054443287,0.3716957520937805,0.06955322387201308,14.462227418744433,22.04236362111055,28.288039475355713
delta0.00__high,0.0,high,1.9,207766894,d7e3e8cf26104c96,"{""COMPUTE"": 636, ""MEMORY"": 527, ""API_CREDITS"": 298, ""DATASET"": 128}","{""COMPUTE"": 2.009433962264151, ""MEMORY"": 1.9696394686907022, ""API_CREDITS"": 2.046979865771812, ""DATASET"": 1.625}",4,0,0,0.0,0.05515109824661712,0.16119693710330768,0.04008317252715837,11.203077146790207,5.739486585441416,33.49181863004767
delta0.00__high,0.0,high,1.9,214952310,75de217369a1eb4c,"{""COMPUTE"": 509, ""MEMORY"": 433, ""API_CREDITS"": 228, ""DATASET"": 130}","{""COMPUTE"": 1.756385068762279, ""MEMORY"": 1.7551963048498844, ""API_CREDITS"": 1.7543859649122806, ""DATASET"": 1.7230769230769232}",4,0,0,0.0,0.12251927933623893,0.39091841210447503,0.07360508543992751,24.567645170144058,17.62855511891179,54.627178163768214
delta0.00__high,0.0,high,1.9,223200515,bd45dc832d75406d,"{""COMPUTE"": 414, ""MEMORY"": 358, ""API_CREDITS"": 177, ""DATASET"": 121}","{""COMPUTE"": 2.004830917874396, ""MEMORY"": 2.0027932960893855, ""API_CREDITS"": 2.073446327683616, ""DATASET"": 1.9173553719008265}",4,0,0,0.0,0.16202978124294012,0.26779751436578014,0.10634660835058425,17.263302404518317,9.256360749453233,24.019751357742578
delta0.00__high,0.0,high,1.9,271508238,a566f208207f3b71,"{""COMPUTE"": 419, ""MEMORY"": 361, ""API_CREDITS"": 185, ""DATASET"": 114}","{""COMPUTE"": 1.775656324582339, ""MEMORY"": 1.7645429362880887, ""API_CREDITS"": 1.7243243243243243, ""DATASET"": 1.7543859649122806}",4,0,0,0.0,0.17287763165734368,0.27156089018642143,0.11844122525826577,7.756317198796347,6.482212980633951,29.24168680454518
delta0.00__high,0.0,high,1.9,278611269,391dbdb3e4aa8f99,"{""COMPUTE"": 448, ""MEMORY"": 411, ""API_CREDITS"": 178, ""DATASET"": 191}","{""COMPUTE"": 1.8482142857142858, ""MEMORY"": 1.8759124087591241, ""API_CREDITS"": 1.8258426966292134, ""DATASET"": 1.968586387434555}",4,0,0,0.0,0.11440283660294347,0.3449097538648034,0.07974703604545975,15.532606859621426,21.246674675338863,39.771597911937626
delta0.00__high,0.0,high,1.9,279304908,a3654cc4c98f4d6c,"{""COMPUTE"": 419, ""MEMORY"": 356, ""API_CREDITS"": 183, ""DATASET"": 106}","{""COMPUTE"": 1.8711217183770883, ""MEMORY"": 1.8792134831460674, ""API_CREDITS"": 1.8961748633879782, ""DATASET"": 1.8867924528301887}",4,0,0,0.0,0.17683058444604632,0.26139773297571217,0.12814570246799162,9.370544828304569,9.774703811971142,30.253403940854025
delta0.00__high,0.0,high,1.9,284064978,ce4d3d169a546e2d,"{""COMPUTE"": 500, ""MEMORY"": 428, ""API_CREDITS"": 248, ""DATASET"": 115}","{""COMPUTE"": 2.084, ""MEMORY"": 2.0911214953271027, ""API_CREDITS"": 2.0846774193548385, ""DATASET"": 2.1565217391304348}",4,0,0,0.0,0.10182027342600763,0.2627846413418323,0.06155020510015199,5.995522671066091,6.606342242036295,45.44764748253857
delta0.00__high,0.0,high,1.9,322453867,280fec6698552fb2,"{""COMPUTE"": 508, ""MEMORY"": 405, ""API_CREDITS"": 246, ""DATASET"": 60}","{""COMPUTE"": 1.8976377952755905, ""MEMORY"": 1.9037037037037037, ""API_CREDITS"": 1.8902439024390243, ""DATASET"": 2.0}",4,0,0,0.0,0.07102106690426725,0.21276203666352952,0.0478523631458398,14.905084485661433,6.229478121879207,10.800672717273136
delta0.00__high,0.0,high,1.9,343457384,2880e9f776c6286c,"{""COMPUTE"": 610, ""MEMORY"": 493, ""API_CREDITS"": 296, ""DATASET"": 89}","{""COMPUTE"": 1.8786885245901639, ""MEMORY"": 1.8864097363083163, ""API_CREDITS"": 1.8716216216216217, ""DATASET"": 1.9775280898876404}",4,0,0,0.0,0.0670679396706794,0.13937917638921657,0.04877830819611643,6.147518360679382,10.943892868493352,6.354881147629126
delta0.00__high,0.0,high,1.9,386742898,c5188c3186f18047,"{""COMPUTE"": 466, ""MEMORY"": 417, ""API_CREDITS"": 202, ""DATASET"": 164}","{""COMPUTE"": 2.0, ""MEMORY"": 1.9832134292565948, ""API_CREDITS"": 2.0247524752475248, ""DATASET"": 1.9024390243902438}",4,0,0,0.0,0.14813939733231454,0.2916768281476901,0.10674495925669863,14.429177232871275,14.13274632328328,20.951534909570388
delta0.00__high,0.0,high,1.9,396660506,7c76a9d3b37e4b54,"{""COMPUTE"": 330, ""MEMORY"": 278, ""API_CREDITS"": 163, ""DATASET"": 61}","{""COMPUTE"": 1.793939393939394, ""MEMORY"": 1.7697841726618706, ""API_CREDITS"": 1.7668711656441718, ""DATASET"": 1.5737704918032787}",4,0,0,0.0,0.10630662381489477,0.2751353357350465,0.06828811278030754,7.896819101101808,11.179059874801323,41.108177316769904
delta0.00__high,0.0,high,1.9,421967079,81b58845216343c2,"{""COMPUTE"": 555, ""MEMORY"": 469, ""API_CREDITS"": 267, ""DATASET"": 123}","{""COMPUTE"": 1.9603603603603603, ""MEMORY"": 1.9466950959488274, ""API_CREDITS"": 1.9438202247191012, ""DATASET"": 1.886178861788618}",4,0,0,0.0,0.1276712032180782,0.2369387079878721,0.07846589897371148,11.783563730263813,11.51314760203934,25.158611556784635
delta0.00__high,0.0,high,1.9,433449607,2dad473c0befa480,"{""COMPUTE"": 579, ""MEMORY"": 499, ""API_CREDITS"": 261, ""DATASET"": 163}","{""COMPUTE"": 1.85146804835924, ""MEMORY"": 1.8557114228456915, ""API_CREDITS"": 1.8467432950191571, ""DATASET"": 1.8650306748466257}",4,0,0,0.0,0.1557465682465682,0.11216922048757844,0.11421641629974964,10.704621719168662,7.621541679771574,13.399319457549344
delta0.00__high,0.0,high,1.9,446926817,9c6129eef0126e72,"{""COMPUTE"": 477, ""MEMORY"": 385, ""API_CREDITS"": 222, ""DATASET"": 71}","{""COMPUTE"": 1.928721174004193, ""MEMORY"": 1.9246753246753248, ""API_CREDITS"": 1.9234234234234233, ""DATASET"": 1.9154929577464788}",4,0,0,0.0,0.13323450854700852,0.1777313943395754,0.08837918447293447,7.543770391370887,6.963317737101966,11.388818021168829
delta0.00__high,0.0,high,1.9,453512931,bd69bc61e4cb9834,"{""COMPUTE"": 481, ""MEMORY"": 409, ""API_CREDITS"": 231, ""DATASET"": 110}","{""COMPUTE"": 1.95010395010395, ""MEMORY"": 1.9682151589242054, ""API_CREDITS"": 1.9350649350649352, ""DATASET"": 2.109090909090909}",4,0,0,0.0,0.12358634421134422,0.3095987028759539,0.07496209423292757,9.047221329090952,17.958466342313837,22.431054953692364
delta0.00__high,0.0,high,1.9,469716932,33809de90aafe241,"{""COMPUTE"": 530, ""MEMORY"": 419, ""API_CREDITS"": 245, ""DATASET"": 64}","{""COMPUTE"": 1.9320754716981132, ""MEMORY"": 1.9236276849642004, ""API_CREDITS"": 1.9673469387755103, ""DATASET"": 1.75}",4,0,0,0.0,0.06824521813883515,0.2587017041763399,0.04925381673313115,6.403161338803443,7.856219490040801,26.87831251046136
delta0.00__high,0.0,high,1.9,484036427,82202691d32e8e30,"{""COMPUTE"": 485, ""MEMORY"": 406, ""API_CREDITS"": 249, ""DATASET"": 85}","{""COMPUTE"": 1.9010309278350515, ""MEMORY"": 1.8990147783251232, ""API_CREDITS"": 1.9477911646586346, ""DATASET"": 1.7882352941176471}",4,0,0,0.0,0.048965821000704714,0.27607948683548006,0.033258915462767207,8.065489405599363,9.188904775038935,25.858960204780164
delta0.00__high,0.0,high,1.9,496510537,5d119f3e806a1f03,"{""COMPUTE"": 710, ""MEMORY"": 578, ""API_CREDITS"": 342, ""DATASET"": 117}","{""COMPUTE"": 1.9070422535211267, ""MEMORY"": 1.9013840830449826, ""API_CREDITS"": 1.909356725146199, ""DATASET"": 1.8461538461538463}",4,0,0,0.0,0.054386994106620276,0.1723695292046951,0.03898126795323057,14.9052139491167,7.879263793797057,23.63362539659973
delta0.00__high,0.0,high,1.9,561058638,965ea104f0c88255,"{""COMPUTE"": 532, ""MEMORY"": 405, ""API_CREDITS"": 249, ""DATASET"": 31}","{""COMPUTE"": 1.913533834586466, ""MEMORY"": 1.9259259259259258, ""API_CREDITS"": 1.9437751004016064, ""DATASET"": 2.064516129032258}",4,0,0,0.0,0.04618415993848519,0.22392314091524582,0.031812873132974956,7.509434869746012,3.9193155018725907,37.72495342824026
delta0.00__high,0.0,high,1.9,572743071,be72a04f8e26460a,"{""COMPUTE"": 575, ""MEMORY"": 474, ""API_CREDITS"": 259, ""DATASET"": 116}","{""COMPUTE"": 1.8121739130434782, ""MEMORY"": 1.8122362869198312, ""API_CREDITS"": 1.77992277992278, ""DATASET"": 1.8620689655172413}",4,0,0,0.0,0.13081684678518943,0.2179171491470616,0.0793198250872056,5.011338209041805,6.869127984747897,22.55538073843122
delta0.00__high,0.0,high,1.9,584741180,c132d31f4e192699,"{""COMPUTE"": 448, ""MEMORY"": 399, ""API_CREDITS"": 196, ""DATASET"": 151}","{""COMPUTE"": 1.8348214285714286, ""MEMORY"": 1.844611528822055, ""API_CREDITS"": 1.816326530612245, ""DATASET"": 1.9072847682119205}",4,0,0,0.0,0.1522230855564189,0.28043213354877444,0.10820269055563174,7.764380724369175,9.795097631797256,18.041618258598763
delta0.00__high,0.0,high,1.9,585558921,319e72457b06b09d,"{""COMPUTE"": 384, ""MEMORY"": 327, ""API_CREDITS"": 158, ""DATASET"": 105}","{""COMPUTE"": 1.953125, ""MEMORY"": 1.966360856269113, ""API_CREDITS"": 1.9303797468354431, ""DATASET"": 2.057142857142857}",4,0,0,0.0,0.17121495813179383,0.35370980461529705,0.11892408967713226,16.932814524848737,20.334044399261174,43.075475110789704
delta0.00__high,0.0,high,1.9,602333967,d0a725506d6a4123,"{""COMPUTE"": 526, ""MEMORY"": 443, ""API_CREDITS"": 243, ""DATASET"": 120}","{""COMPUTE"": 1.9429657794676807, ""MEMORY"": 1.9435665914221218, ""API_CREDITS"": 1.954732510288066, ""DATASET"": 1.9333333333333333}",4,0,0,0.0,0.08550980414983488,0.31210386451462285,0.05637496103304785,20.43328024959226,19.14463963255051,21.91008166640678
delta0.00__high,0.0,high,1.9,608406825,17d0df8fb0414702,"{""COMPUTE"": 560, ""MEMORY"": 457, ""API_CREDITS"": 278, ""DATASET"": 84}","{""COMPUTE"": 1.8785714285714286, ""MEMORY"": 1.859956236323851, ""API_CREDITS"": 1.8633093525179856, ""DATASET"": 1.7142857142857142}",4,0,0,0.0,0.05902448710311741,0.282840406909635,0.04108706223084789,9.860835547618292,11.116465186563643,27.109253520263348
delta0.00__high,0.0,high,1.9,610357580,45e5bb0e520778e1,"{""COMPUTE"": 511, ""MEMORY"": 425, ""API_CREDITS"": 240, ""DATASET"": 102}","{""COMPUTE"": 2.0587084148727985, ""MEMORY"": 2.0564705882352943, ""API_CREDITS"": 2.075, ""DATASET"": 2.0392156862745097}",4,0,0,0.0,0.1329324634497048,0.3133760301955243,0.08234619254734198,17.70412149911462,7.859632605802601,38.61777887510129
delta0.00__high,0.0,high,1.9,616227400,d7b897e60c4d097c,"{""COMPUTE"": 407, ""MEMORY"": 350, ""API_CREDITS"": 181, ""DATASET"": 110}","{""COMPUTE"": 2.0147420147420148, ""MEMORY"": 2.0228571428571427, ""API_CREDITS"": 2.0331491712707184, ""DATASET"": 2.036363636363636}",4,0,0,0.0,0.172182845325534,0.24498146161087586,0.1241058306211608,20.46706948750411,16.790854583479224,40.06269559472653
delta0.00__high,0.0,high,1.9,638377088,9caff6f6ebbc89bc,"{""COMPUTE"": 279, ""MEMORY"": 259, ""API_CREDITS"": 101, ""DATASET"": 125}","{""COMPUTE"": 2.0, ""MEMORY"": 1.9652509652509653, ""API_CREDITS"": 2.00990099009901, ""DATASET"": 1.856}",4,0,0,0.0,0.16988722841696902,0.26830534072115275,0.11408996282095409,5.0811319138306414,6.775077167401506,15.93292939003854
delta0.00__high,0.0,high,1.9,659053096,a41784399e047db5,"{""COMPUTE"": 432, ""MEMORY"": 363, ""API_CREDITS"": 186, ""DATASET"": 104}","{""COMPUTE"": 1.9583333333333333, ""MEMORY"": 1.9366391184573002, ""API_CREDITS"": 1.9838709677419355, ""DATASET"": 1.7692307692307692}",4,0,0,0.0,0.14281174039806613,0.3469950950246122,0.09538222788746664,11.91208200199476,10.551325540455808,17.656715397202404
delta0.00__high,0.0,high,1.9,677637387,59e9f5f8ae8fd897,"{""COMPUTE"": 554, ""MEMORY"": 466, ""API_CREDITS"": 264, ""DATASET"": 121}","{""COMPUTE"": 1.9169675090252707, ""MEMORY"": 1.9163090128755365, ""API_CREDITS"": 1.9053030303030303, ""DATASET"": 1.9173553719008265}",4,0,0,0.0,0.10099191405161553,0.26557342797415084,0.06026317173705233,6.18762301816754,7.45880606345916,30.443468499203295
delta0.00__high,0.0,high,1.9,687585327,06f033405bf1410d,"{""COMPUTE"": 418, ""MEMORY"": 323, ""API_CREDITS"": 210, ""DATASET"": 20}","{""COMPUTE"": 1.7129186602870814, ""MEMORY"": 1.7058823529411764, ""API_CREDITS"": 1.7190476190476192, ""DATASET"": 1.2}",4,0,0,0.0,0.04241939258247317,0.3592012339041824,0.030004943752951495,6.898383438332163,9.47489444127712,36.60649851264707
delta0.00__high,0.0,high,1.9,705933680,559a07bd0ae04950,"{""COMPUTE"": 454, ""MEMORY"": 364, ""API_CREDITS"": 213, ""DATASET"": 62}","{""COMPUTE"": 1.894273127753304, ""MEMORY"": 1.9120879120879122, ""API_CREDITS"": 1.8967136150234742, ""DATASET"": 2.064516129032258}",4,0,0,0.0,0.1136227017822822,0.17848444073074773,0.07399664735270069,11.79554679974396,2.9429362812575035,9.19616422788654
delta0.00__high,0.0,high,1.9,713663764,5cdfb6f6951b3fc1,"{""COMPUTE"": 331, ""MEMORY"": 283, ""API_CREDITS"": 169, ""DATASET"": 65}","{""COMPUTE"": 1.836858006042296, ""MEMORY"": 1.8303886925795052, ""API_CREDITS"": 1.8579881656804733, ""DATASET"": 1.7230769230769232}",4,0,0,0.0,0.12484975961538461,0.20292855245368532,0.08530732505341881,13.883678344214625,17.893189859538868,17.430951463157978
delta0.00__high,0.0,high,1.9,756150979,62dd7b3c13faf5ec,"{""COMPUTE"": 336, ""MEMORY"": 268, ""API_CREDITS"": 161, ""DATASET"": 35}","{""COMPUTE"": 1.9166666666666667, ""MEMORY"": 1.9104477611940298, ""API_CREDITS"": 1.9130434782608696, ""DATASET"": 1.8285714285714285}",4,0,0,0.0,0.12148148148148147,0.23769704897433383,0.08903133903133904,9.230669159766547,6.4923959642761355,7.284937959187488
delta0.00__high,0.0,high,1.9,759787730,2a3c1e8d79f23377,"{""COMPUTE"": 567, ""MEMORY"": 469, ""API_CREDITS"": 273, ""DATASET"": 104}","{""COMPUTE"": 1.8800705467372134, ""MEMORY"": 1.8891257995735609, ""API_CREDITS"": 1.8681318681318682, ""DATASET"": 2.0}",4,0,0,0.0,0.07259649752334349,0.4027796569496151,0.04584556010316662,14.617536220726633,15.64245126893576,47.2091119941046
delta0.00__high,0.0,high,1.9,779334002,f30a09b2e01abbe9,"{""COMPUTE"": 656, ""MEMORY"": 523, ""API_CREDITS"": 314, ""DATASET"": 87}","{""COMPUTE"": 1.9359756097560976, ""MEMORY"": 1.9464627151051626, ""API_CREDITS"": 1.9426751592356688, ""DATASET"": 2.0229885057471266}",4,0,0,0.0,0.051428143565982555,0.27371814208340095,0.03752815304846229,5.271714567215084,12.56534065547536,16.06716136011497
delta0.00__high,0.0,high,1.9,786766500,8f60a8d98d2bd3ad,"{""COMPUTE"": 420, ""MEMORY"": 364, ""API_CREDITS"": 179, ""DATASET"": 125}","{""COMPUTE"": 1.938095238095238, ""MEMORY"": 1.9258241758241759, ""API_CREDITS"": 1.9385474860335195, ""DATASET"": 1.856}",4,0,0,0.0,0.13412020662450957,0.2865729830445863,0.08640989675843375,11.794502915851941,7.158400125295516,18.023080155909874
delta0.00__high,0.0,high,1.9,891045433,dbc10090041fc8e8,"{""COMPUTE"": 348, ""MEMORY"": 309, ""API_CREDITS"": 154, ""DATASET"": 110}","{""COMPUTE"": 1.8908045977011494, ""MEMORY"": 1.8996763754045307, ""API_CREDITS"": 1.8766233766233766, ""DATASET"": 1.9636363636363636}",4,0,0,0.0,0.16398760927746434,0.23392729474328053,0.10894691057734536,8.56653545928362,5.778594814876112,14.457812457584005
delta0.00__high,0.0,high,1.9,898744256,09a2ddd882d46183,"{""COMPUTE"": 499, ""MEMORY"": 385, ""API_CREDITS"": 245, ""DATASET"": 30}","{""COMPUTE"": 1.8997995991983967, ""MEMORY"": 1.8987012987012988, ""API_CREDITS"": 1.8979591836734695, ""DATASET"": 1.8666666666666667}",4,0,0,0.0,0.04477911646586343,0.05543804113165646,0.03475011155734046,3.3770962517206002,0.28703583292476337,1.8215406961650427
delta0.00__high,0.0,high,1.9,921012401,235a6de57b5bc621,"{""COMPUTE"": 582, ""MEMORY"": 468, ""API_CREDITS"": 267, ""DATASET"": 92}","{""COMPUTE"": 1.9312714776632303, ""MEMORY"": 1.938034188034188, ""API_CREDITS"": 1.9213483146067416, ""DATASET"": 2.0}",4,0,0,0.0,0.13112871064678294,0.18767301586324506,0.08912514861310043,10.467010332945806,7.0388127110683625,14.163117883166839
delta0.00__high,0.0,high,1.9,928131396,9a62e26a646e3252,"{""COMPUTE"": 515, ""MEMORY"": 444, ""API_CREDITS"": 241, ""DATASET"": 135}","{""COMPUTE"": 2.042718446601942, ""MEMORY"": 1.990990990990991, ""API_CREDITS"": 2.091286307053942, ""DATASET"": 1.6592592592592592}",4,0,0,0.0,0.10187613692144742,0.2874483072837122,0.05945423542119677,14.984006301324158,18.316592705886663,33.934532551707186
delta0.00__high,0.0,high,1.9,986685360,0c3e530a0542b63f,"{""COMPUTE"": 424, ""MEMORY"": 355, ""API_CREDITS"": 190, ""DATASET"": 93}","{""COMPUTE"": 2.0, ""MEMORY"": 2.0056338028169014, ""API_CREDITS"": 2.0, ""DATASET"": 2.064516129032258}",4,0,0,0.0,0.11720370140207095,0.3489964024083214,0.07086631599199535,10.769267179927716,18.460454124107127,25.308775869760485
delta0.00__high,0.0,high,1.9,1040871164,b9ecc7e3ae45d3f5,"{""COMPUTE"": 539, ""MEMORY"": 459, ""API_CREDITS"": 265, ""DATASET"": 122}","{""COMPUTE"": 1.9851576994434137, ""MEMORY"": 1.9694989106753813, ""API_CREDITS"": 2.0075471698113208, ""DATASET"": 1.8360655737704918}",4,0,0,0.0,0.06229840715822025,0.17364245084380978,0.04526281804319188,4.094069629907282,11.42916635005795,20.060380032360687
delta0.00__high,0.0,high,1.9,1109034924,10a6bf126c712e0c,"{""COMPUTE"": 610, ""MEMORY"": 479, ""API_CREDITS"": 283, ""DATASET"": 71}","{""COMPUTE"": 1.8983606557377048, ""MEMORY"": 1.895615866388309, ""API_CREDITS"": 1.9081272084805654, ""DATASET"": 1.8028169014084507}",4,0,0,0.0,0.06008814008814009,0.1759141429086465,0.04765804765804766,14.672234689909784,12.749368962666836,19.437044961030377
