sweep,cell,regime,concentration,floor_regime,contention,seed,policy,utility_family,task_workload_hash,scenario_hash,agent,archetype,priority,completion,zero_completion,mandatory_failures,quality,backend_calls,blocked_calls,allocated,charged,min_bound,upper_bound,any_used_at_lower_bound,all_used_above_lower_bound,alloc_distance_from_equal,completion_minus_equal,latent_probs
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,joint_linear,LINEAR,602ca651a80c6f94,a39c1f9836e12e4d,a2,code_review+doc_processing+monitoring,1.0,0.0,True,8,0.0,0,0,"{""COMPUTE"": 149, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 126}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 232, ""MEMORY"": 187, ""API_CREDITS"": 126, ""DATASET"": 8}",True,False,0.8685258964143426,-0.875,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,joint_linear,LINEAR,602ca651a80c6f94,a39c1f9836e12e4d,a3,code_review+doc_processing+monitoring+research,1.0,0.0,True,8,0.0,0,0,"{""COMPUTE"": 21, ""MEMORY"": 208, ""DATASET"": 48, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 248, ""MEMORY"": 208, ""API_CREDITS"": 120, ""DATASET"": 48}",True,False,0.9817518248175182,-0.625,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,joint_linear,LINEAR,602ca651a80c6f94,a39c1f9836e12e4d,a4,code_review+doc_processing+monitoring+research,1.0,0.0,True,8,0.0,0,0,"{""COMPUTE"": 59, ""MEMORY"": 168, ""DATASET"": 40, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 238, ""MEMORY"": 199, ""API_CREDITS"": 118, ""DATASET"": 40}",True,False,0.6727941176470589,-0.625,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,joint_linear,LINEAR,602ca651a80c6f94,a39c1f9836e12e4d,a5,code_review+doc_processing+monitoring+research,1.0,0.0,True,8,0.0,0,0,"{""COMPUTE"": 193, ""MEMORY"": 0, ""DATASET"": 6, ""API_CREDITS"": 39}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 218, ""MEMORY"": 181, ""API_CREDITS"": 114, ""DATASET"": 24}",True,False,0.7727272727272727,-0.875,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,equal,none,3ad27a75dce782ee,31eb2885696c4897,a0,code_review+doc_processing+monitoring+research,1.0,0.75,False,2,0.5375,13,7,"{""COMPUTE"": 110, ""MEMORY"": 91, ""DATASET"": 16, ""API_CREDITS"": 52}","{""COMPUTE"": 106, ""MEMORY"": 86, ""DATASET"": 16, ""API_CREDITS"": 50}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 242, ""MEMORY"": 192, ""API_CREDITS"": 120, ""DATASET"": 16}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,equal,none,3ad27a75dce782ee,31eb2885696c4897,a1,code_review+doc_processing+research,1.0,0.5,False,4,0.38125,10,5,"{""COMPUTE"": 110, ""MEMORY"": 91, ""DATASET"": 16, ""API_CREDITS"": 52}","{""COMPUTE"": 100, ""MEMORY"": 82, ""DATASET"": 16, ""API_CREDITS"": 50}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 276, ""MEMORY"": 224, ""API_CREDITS"": 152, ""DATASET"": 16}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,equal,none,3ad27a75dce782ee,31eb2885696c4897,a2,code_review+doc_processing+monitoring+research,1.0,0.75,False,2,0.521875,15,4,"{""COMPUTE"": 110, ""MEMORY"": 91, ""DATASET"": 23, ""API_CREDITS"": 51}","{""COMPUTE"": 104, ""MEMORY"": 84, ""DATASET"": 16, ""API_CREDITS"": 46}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 228, ""MEMORY"": 186, ""API_CREDITS"": 108, ""DATASET"": 32}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,equal,none,3ad27a75dce782ee,31eb2885696c4897,a3,code_review+doc_processing+monitoring+research,1.0,0.75,False,2,0.5437500000000001,14,4,"{""COMPUTE"": 110, ""MEMORY"": 91, ""DATASET"": 23, ""API_CREDITS"": 51}","{""COMPUTE"": 102, ""MEMORY"": 84, ""DATASET"": 16, ""API_CREDITS"": 47}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 228, ""MEMORY"": 188, ""API_CREDITS"": 112, ""DATASET"": 32}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,equal,none,3ad27a75dce782ee,31eb2885696c4897,a4,code_review+doc_processing+monitoring,1.0,0.875,False,1,0.6437499999999999,14,7,"{""COMPUTE"": 109, ""MEMORY"": 91, ""DATASET"": 23, ""API_CREDITS"": 51}","{""COMPUTE"": 100, ""MEMORY"": 82, ""DATASET"": 16, ""API_CREDITS"": 45}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 184, ""MEMORY"": 153, ""API_CREDITS"": 90, ""DATASET"": 24}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,equal,none,3ad27a75dce782ee,31eb2885696c4897,a5,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.48750000000000004,13,1,"{""COMPUTE"": 109, ""MEMORY"": 90, ""DATASET"": 22, ""API_CREDITS"": 51}","{""COMPUTE"": 102, ""MEMORY"": 86, ""DATASET"": 16, ""API_CREDITS"": 50}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 238, ""MEMORY"": 199, ""API_CREDITS"": 118, ""DATASET"": 40}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,drf,none,3ad27a75dce782ee,31eb2885696c4897,a0,code_review+doc_processing+monitoring+research,1.0,0.875,False,1,0.628125,17,7,"{""COMPUTE"": 127, ""MEMORY"": 99, ""DATASET"": 13, ""API_CREDITS"": 59}","{""COMPUTE"": 126, ""MEMORY"": 97, ""DATASET"": 8, ""API_CREDITS"": 58}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 242, ""MEMORY"": 192, ""API_CREDITS"": 120, ""DATASET"": 16}",False,True,0.13011152416356878,0.125,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,drf,none,3ad27a75dce782ee,31eb2885696c4897,a1,code_review+doc_processing+research,1.0,0.875,False,1,0.65625,11,12,"{""COMPUTE"": 112, ""MEMORY"": 91, ""DATASET"": 13, ""API_CREDITS"": 59}","{""COMPUTE"": 106, ""MEMORY"": 85, ""DATASET"": 8, ""API_CREDITS"": 57}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 276, ""MEMORY"": 224, ""API_CREDITS"": 152, ""DATASET"": 16}",False,True,0.04460966542750929,0.375,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,drf,none,3ad27a75dce782ee,31eb2885696c4897,a2,code_review+doc_processing+monitoring+research,1.0,0.75,False,2,0.5375,16,3,"{""COMPUTE"": 118, ""MEMORY"": 98, ""DATASET"": 24, ""API_CREDITS"": 53}","{""COMPUTE"": 114, ""MEMORY"": 92, ""DATASET"": 16, ""API_CREDITS"": 51}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 228, ""MEMORY"": 186, ""API_CREDITS"": 108, ""DATASET"": 32}",False,True,0.06545454545454546,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,drf,none,3ad27a75dce782ee,31eb2885696c4897,a3,code_review+doc_processing+monitoring+research,1.0,0.75,False,2,0.540625,13,5,"{""COMPUTE"": 109, ""MEMORY"": 92, ""DATASET"": 24, ""API_CREDITS"": 50}","{""COMPUTE"": 104, ""MEMORY"": 89, ""DATASET"": 24, ""API_CREDITS"": 49}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 228, ""MEMORY"": 188, ""API_CREDITS"": 112, ""DATASET"": 32}",False,True,0.014545454545454545,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,drf,none,3ad27a75dce782ee,31eb2885696c4897,a4,code_review+doc_processing+monitoring,1.0,0.875,False,1,0.60625,13,8,"{""COMPUTE"": 97, ""MEMORY"": 82, ""DATASET"": 24, ""API_CREDITS"": 41}","{""COMPUTE"": 90, ""MEMORY"": 74, ""DATASET"": 16, ""API_CREDITS"": 40}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 184, ""MEMORY"": 153, ""API_CREDITS"": 90, ""DATASET"": 24}",False,True,0.11678832116788321,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,drf,none,3ad27a75dce782ee,31eb2885696c4897,a5,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.47187500000000004,12,2,"{""COMPUTE"": 95, ""MEMORY"": 81, ""DATASET"": 23, ""API_CREDITS"": 45}","{""COMPUTE"": 92, ""MEMORY"": 78, ""DATASET"": 16, ""API_CREDITS"": 45}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 238, ""MEMORY"": 199, ""API_CREDITS"": 118, ""DATASET"": 40}",False,True,0.11029411764705882,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,joint_linear,LINEAR,3ad27a75dce782ee,31eb2885696c4897,a0,code_review+doc_processing+monitoring+research,1.0,0.0,True,8,0.0,0,0,"{""COMPUTE"": 181, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 76}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 242, ""MEMORY"": 192, ""API_CREDITS"": 120, ""DATASET"": 16}",True,False,0.7509293680297398,-0.75,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,joint_linear,LINEAR,3ad27a75dce782ee,31eb2885696c4897,a1,code_review+doc_processing+research,1.0,0.0,True,8,0.0,0,0,"{""COMPUTE"": 137, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 152}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 276, ""MEMORY"": 224, ""API_CREDITS"": 152, ""DATASET"": 16}",True,False,0.8698884758364313,-0.5,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,joint_linear,LINEAR,3ad27a75dce782ee,31eb2885696c4897,a2,code_review+doc_processing+monitoring+research,1.0,0.0,True,8,0.0,0,0,"{""COMPUTE"": 207, ""MEMORY"": 5, ""DATASET"": 27, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 228, ""MEMORY"": 186, ""API_CREDITS"": 108, ""DATASET"": 32}",True,False,0.8654545454545455,-0.75,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,joint_linear,LINEAR,3ad27a75dce782ee,31eb2885696c4897,a3,code_review+doc_processing+monitoring+research,1.0,0.0,True,8,0.0,0,0,"{""COMPUTE"": 52, ""MEMORY"": 188, ""DATASET"": 32, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 228, ""MEMORY"": 188, ""API_CREDITS"": 112, ""DATASET"": 32}",True,False,0.7818181818181819,-0.75,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,joint_linear,LINEAR,3ad27a75dce782ee,31eb2885696c4897,a4,code_review+doc_processing+monitoring,1.0,0.0,True,8,0.0,0,0,"{""COMPUTE"": 81, ""MEMORY"": 153, ""DATASET"": 24, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 184, ""MEMORY"": 153, ""API_CREDITS"": 90, ""DATASET"": 24}",True,False,0.5182481751824818,-0.875,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,joint_linear,LINEAR,3ad27a75dce782ee,31eb2885696c4897,a5,code_review+doc_processing+monitoring+research,1.0,0.0,True,8,0.0,0,0,"{""COMPUTE"": 0, ""MEMORY"": 199, ""DATASET"": 40, ""API_CREDITS"": 80}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 238, ""MEMORY"": 199, ""API_CREDITS"": 118, ""DATASET"": 40}",True,False,0.9742647058823529,-0.625,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2342860720,equal,none,d3bdf6732acfbd45,3caa8bb700a04a98,a0,code_review+doc_processing+monitoring+research,1.0,0.875,False,1,0.65625,15,8,"{""COMPUTE"": 128, ""MEMORY"": 104, ""DATASET"": 23, ""API_CREDITS"": 60}","{""COMPUTE"": 124, ""MEMORY"": 100, ""DATASET"": 16, ""API_CREDITS"": 60}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 252, ""MEMORY"": 205, ""API_CREDITS"": 130, ""DATASET"": 24}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2342860720,equal,none,d3bdf6732acfbd45,3caa8bb700a04a98,a1,code_review+doc_processing+monitoring+research,1.0,0.75,False,2,0.6,15,5,"{""COMPUTE"": 128, ""MEMORY"": 104, ""DATASET"": 23, ""API_CREDITS"": 60}","{""COMPUTE"": 124, ""MEMORY"": 100, ""DATASET"": 16, ""API_CREDITS"": 59}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 262, ""MEMORY"": 214, ""API_CREDITS"": 132, ""DATASET"": 32}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
