cell,regime,contention,seed,arm,agent,archetype,queue_order_completion,best_subset_completion,best_subset_count,mandatory_failures,allocated,charged,unused,min_bound,upper_bound
dirichlet_0.1__high,dirichlet_0.1,high,13163994,distributed_price_leontief,a4,code_review+monitoring,1.0,1.0,8,0,"{""COMPUTE"": 78, ""MEMORY"": 65, ""DATASET"": 8, ""API_CREDITS"": 44}","{""COMPUTE"": 78, ""MEMORY"": 65, ""DATASET"": 8, ""API_CREDITS"": 43}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 1}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 232, ""MEMORY"": 191, ""API_CREDITS"": 134, ""DATASET"": 8}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,distributed_price_leontief,a5,research,0.375,0.375,3,5,"{""COMPUTE"": 103, ""MEMORY"": 88, ""DATASET"": 24, ""API_CREDITS"": 52}","{""COMPUTE"": 102, ""MEMORY"": 87, ""DATASET"": 24, ""API_CREDITS"": 51}","{""COMPUTE"": 1, ""MEMORY"": 1, ""DATASET"": 0, ""API_CREDITS"": 1}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 336, ""MEMORY"": 280, ""API_CREDITS"": 168, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,drf,a0,monitoring,0.5,0.5,4,4,"{""COMPUTE"": 38, ""MEMORY"": 43, ""DATASET"": 38, ""API_CREDITS"": 5}","{""COMPUTE"": 32, ""MEMORY"": 36, ""DATASET"": 32, ""API_CREDITS"": 4}","{""COMPUTE"": 6, ""MEMORY"": 7, ""DATASET"": 6, ""API_CREDITS"": 1}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 64, ""MEMORY"": 72, ""API_CREDITS"": 8, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,drf,a1,monitoring,0.5,0.5,4,4,"{""COMPUTE"": 38, ""MEMORY"": 43, ""DATASET"": 38, ""API_CREDITS"": 5}","{""COMPUTE"": 32, ""MEMORY"": 36, ""DATASET"": 32, ""API_CREDITS"": 4}","{""COMPUTE"": 6, ""MEMORY"": 7, ""DATASET"": 6, ""API_CREDITS"": 1}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 64, ""MEMORY"": 72, ""API_CREDITS"": 8, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,drf,a2,research,0.375,0.375,3,5,"{""COMPUTE"": 115, ""MEMORY"": 98, ""DATASET"": 27, ""API_CREDITS"": 57}","{""COMPUTE"": 110, ""MEMORY"": 93, ""DATASET"": 24, ""API_CREDITS"": 55}","{""COMPUTE"": 5, ""MEMORY"": 5, ""DATASET"": 3, ""API_CREDITS"": 2}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 336, ""MEMORY"": 280, ""API_CREDITS"": 168, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,drf,a3,doc_processing+research,0.5,0.625,5,4,"{""COMPUTE"": 120, ""MEMORY"": 95, ""DATASET"": 14, ""API_CREDITS"": 57}","{""COMPUTE"": 120, ""MEMORY"": 93, ""DATASET"": 8, ""API_CREDITS"": 57}","{""COMPUTE"": 0, ""MEMORY"": 2, ""DATASET"": 6, ""API_CREDITS"": 0}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 286, ""MEMORY"": 225, ""API_CREDITS"": 138, ""DATASET"": 24}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,drf,a4,code_review+monitoring,1.0,1.0,8,0,"{""COMPUTE"": 78, ""MEMORY"": 65, ""DATASET"": 8, ""API_CREDITS"": 43}","{""COMPUTE"": 78, ""MEMORY"": 65, ""DATASET"": 8, ""API_CREDITS"": 43}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 232, ""MEMORY"": 191, ""API_CREDITS"": 134, ""DATASET"": 8}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,drf,a5,research,0.375,0.375,3,5,"{""COMPUTE"": 114, ""MEMORY"": 97, ""DATASET"": 27, ""API_CREDITS"": 57}","{""COMPUTE"": 110, ""MEMORY"": 93, ""DATASET"": 24, ""API_CREDITS"": 55}","{""COMPUTE"": 4, ""MEMORY"": 4, ""DATASET"": 3, ""API_CREDITS"": 2}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 336, ""MEMORY"": 280, ""API_CREDITS"": 168, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,equal,a0,monitoring,0.375,0.375,3,5,"{""COMPUTE"": 64, ""MEMORY"": 72, ""DATASET"": 30, ""API_CREDITS"": 8}","{""COMPUTE"": 24, ""MEMORY"": 27, ""DATASET"": 24, ""API_CREDITS"": 3}","{""COMPUTE"": 40, ""MEMORY"": 45, ""DATASET"": 6, ""API_CREDITS"": 5}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 64, ""MEMORY"": 72, ""API_CREDITS"": 8, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,equal,a1,monitoring,0.375,0.375,3,5,"{""COMPUTE"": 64, ""MEMORY"": 72, ""DATASET"": 30, ""API_CREDITS"": 8}","{""COMPUTE"": 24, ""MEMORY"": 27, ""DATASET"": 24, ""API_CREDITS"": 3}","{""COMPUTE"": 40, ""MEMORY"": 45, ""DATASET"": 6, ""API_CREDITS"": 5}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 64, ""MEMORY"": 72, ""API_CREDITS"": 8, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,equal,a2,research,0.25,0.25,2,6,"{""COMPUTE"": 95, ""MEMORY"": 75, ""DATASET"": 30, ""API_CREDITS"": 53}","{""COMPUTE"": 84, ""MEMORY"": 70, ""DATASET"": 16, ""API_CREDITS"": 42}","{""COMPUTE"": 11, ""MEMORY"": 5, ""DATASET"": 14, ""API_CREDITS"": 11}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 336, ""MEMORY"": 280, ""API_CREDITS"": 168, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,equal,a3,doc_processing+research,0.375,0.5,4,5,"{""COMPUTE"": 95, ""MEMORY"": 75, ""DATASET"": 24, ""API_CREDITS"": 53}","{""COMPUTE"": 88, ""MEMORY"": 69, ""DATASET"": 8, ""API_CREDITS"": 42}","{""COMPUTE"": 7, ""MEMORY"": 6, ""DATASET"": 16, ""API_CREDITS"": 11}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 286, ""MEMORY"": 225, ""API_CREDITS"": 138, ""DATASET"": 24}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,equal,a4,code_review+monitoring,1.0,1.0,8,0,"{""COMPUTE"": 94, ""MEMORY"": 74, ""DATASET"": 8, ""API_CREDITS"": 53}","{""COMPUTE"": 88, ""MEMORY"": 73, ""DATASET"": 8, ""API_CREDITS"": 48}","{""COMPUTE"": 6, ""MEMORY"": 1, ""DATASET"": 0, ""API_CREDITS"": 5}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 232, ""MEMORY"": 191, ""API_CREDITS"": 134, ""DATASET"": 8}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,equal,a5,research,0.25,0.25,2,6,"{""COMPUTE"": 94, ""MEMORY"": 74, ""DATASET"": 30, ""API_CREDITS"": 52}","{""COMPUTE"": 84, ""MEMORY"": 70, ""DATASET"": 16, ""API_CREDITS"": 42}","{""COMPUTE"": 10, ""MEMORY"": 4, ""DATASET"": 14, ""API_CREDITS"": 10}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 336, ""MEMORY"": 280, ""API_CREDITS"": 168, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,independent_bundle_maxmin,a0,monitoring,0.75,0.75,6,2,"{""COMPUTE"": 64, ""MEMORY"": 72, ""DATASET"": 53, ""API_CREDITS"": 8}","{""COMPUTE"": 48, ""MEMORY"": 54, ""DATASET"": 48, ""API_CREDITS"": 6}","{""COMPUTE"": 16, ""MEMORY"": 18, ""DATASET"": 5, ""API_CREDITS"": 2}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 64, ""MEMORY"": 72, ""API_CREDITS"": 8, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,independent_bundle_maxmin,a1,monitoring,0.75,0.75,6,2,"{""COMPUTE"": 64, ""MEMORY"": 72, ""DATASET"": 53, ""API_CREDITS"": 8}","{""COMPUTE"": 48, ""MEMORY"": 54, ""DATASET"": 48, ""API_CREDITS"": 6}","{""COMPUTE"": 16, ""MEMORY"": 18, ""DATASET"": 5, ""API_CREDITS"": 2}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 64, ""MEMORY"": 72, ""API_CREDITS"": 8, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,independent_bundle_maxmin,a2,research,0.25,0.25,2,6,"{""COMPUTE"": 92, ""MEMORY"": 74, ""DATASET"": 16, ""API_CREDITS"": 51}","{""COMPUTE"": 84, ""MEMORY"": 70, ""DATASET"": 16, ""API_CREDITS"": 42}","{""COMPUTE"": 8, ""MEMORY"": 4, ""DATASET"": 0, ""API_CREDITS"": 9}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 336, ""MEMORY"": 280, ""API_CREDITS"": 168, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,independent_bundle_maxmin,a3,doc_processing+research,0.375,0.5,4,5,"{""COMPUTE"": 100, ""MEMORY"": 75, ""DATASET"": 8, ""API_CREDITS"": 52}","{""COMPUTE"": 96, ""MEMORY"": 75, ""DATASET"": 8, ""API_CREDITS"": 46}","{""COMPUTE"": 4, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 6}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 286, ""MEMORY"": 225, ""API_CREDITS"": 138, ""DATASET"": 24}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,independent_bundle_maxmin,a4,code_review+monitoring,0.875,0.875,7,1,"{""COMPUTE"": 95, ""MEMORY"": 75, ""DATASET"": 7, ""API_CREDITS"": 58}","{""COMPUTE"": 92, ""MEMORY"": 74, ""DATASET"": 0, ""API_CREDITS"": 55}","{""COMPUTE"": 3, ""MEMORY"": 1, ""DATASET"": 7, ""API_CREDITS"": 3}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 232, ""MEMORY"": 191, ""API_CREDITS"": 134, ""DATASET"": 8}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,independent_bundle_maxmin,a5,research,0.125,0.125,1,7,"{""COMPUTE"": 91, ""MEMORY"": 74, ""DATASET"": 15, ""API_CREDITS"": 50}","{""COMPUTE"": 42, ""MEMORY"": 35, ""DATASET"": 8, ""API_CREDITS"": 21}","{""COMPUTE"": 49, ""MEMORY"": 39, ""DATASET"": 7, ""API_CREDITS"": 29}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 336, ""MEMORY"": 280, ""API_CREDITS"": 168, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,separable_leontief_relaxation,a0,monitoring,0.375,0.375,3,5,"{""COMPUTE"": 64, ""MEMORY"": 72, ""DATASET"": 30, ""API_CREDITS"": 8}","{""COMPUTE"": 24, ""MEMORY"": 27, ""DATASET"": 24, ""API_CREDITS"": 3}","{""COMPUTE"": 40, ""MEMORY"": 45, ""DATASET"": 6, ""API_CREDITS"": 5}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 64, ""MEMORY"": 72, ""API_CREDITS"": 8, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,separable_leontief_relaxation,a1,monitoring,0.375,0.375,3,5,"{""COMPUTE"": 64, ""MEMORY"": 72, ""DATASET"": 30, ""API_CREDITS"": 8}","{""COMPUTE"": 24, ""MEMORY"": 27, ""DATASET"": 24, ""API_CREDITS"": 3}","{""COMPUTE"": 40, ""MEMORY"": 45, ""DATASET"": 6, ""API_CREDITS"": 5}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 64, ""MEMORY"": 72, ""API_CREDITS"": 8, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,separable_leontief_relaxation,a2,research,0.25,0.25,2,6,"{""COMPUTE"": 95, ""MEMORY"": 75, ""DATASET"": 30, ""API_CREDITS"": 53}","{""COMPUTE"": 84, ""MEMORY"": 70, ""DATASET"": 16, ""API_CREDITS"": 42}","{""COMPUTE"": 11, ""MEMORY"": 5, ""DATASET"": 14, ""API_CREDITS"": 11}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 336, ""MEMORY"": 280, ""API_CREDITS"": 168, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,separable_leontief_relaxation,a3,doc_processing+research,0.375,0.5,4,5,"{""COMPUTE"": 95, ""MEMORY"": 75, ""DATASET"": 24, ""API_CREDITS"": 53}","{""COMPUTE"": 88, ""MEMORY"": 69, ""DATASET"": 8, ""API_CREDITS"": 42}","{""COMPUTE"": 7, ""MEMORY"": 6, ""DATASET"": 16, ""API_CREDITS"": 11}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 286, ""MEMORY"": 225, ""API_CREDITS"": 138, ""DATASET"": 24}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,separable_leontief_relaxation,a4,code_review+monitoring,1.0,1.0,8,0,"{""COMPUTE"": 94, ""MEMORY"": 74, ""DATASET"": 8, ""API_CREDITS"": 53}","{""COMPUTE"": 88, ""MEMORY"": 73, ""DATASET"": 8, ""API_CREDITS"": 48}","{""COMPUTE"": 6, ""MEMORY"": 1, ""DATASET"": 0, ""API_CREDITS"": 5}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 232, ""MEMORY"": 191, ""API_CREDITS"": 134, ""DATASET"": 8}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,separable_leontief_relaxation,a5,research,0.25,0.25,2,6,"{""COMPUTE"": 94, ""MEMORY"": 74, ""DATASET"": 30, ""API_CREDITS"": 52}","{""COMPUTE"": 84, ""MEMORY"": 70, ""DATASET"": 16, ""API_CREDITS"": 42}","{""COMPUTE"": 10, ""MEMORY"": 4, ""DATASET"": 14, ""API_CREDITS"": 10}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 336, ""MEMORY"": 280, ""API_CREDITS"": 168, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,47233068,central_joint_leontief,a0,monitoring,0.625,0.625,5,3,"{""COMPUTE"": 41, ""MEMORY"": 46, ""DATASET"": 41, ""API_CREDITS"": 5}","{""COMPUTE"": 40, ""MEMORY"": 45, ""DATASET"": 40, ""API_CREDITS"": 5}","{""COMPUTE"": 1, ""MEMORY"": 1, ""DATASET"": 1, ""API_CREDITS"": 0}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 64, ""MEMORY"": 72, ""API_CREDITS"": 8, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,47233068,central_joint_leontief,a1,code_review+monitoring+research,0.375,0.375,3,5,"{""COMPUTE"": 58, ""MEMORY"": 49, ""DATASET"": 14, ""API_CREDITS"": 29}","{""COMPUTE"": 54, ""MEMORY"": 45, ""DATASET"": 8, ""API_CREDITS"": 29}","{""COMPUTE"": 4, ""MEMORY"": 4, ""DATASET"": 6, ""API_CREDITS"": 0}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 282, ""MEMORY"": 236, ""API_CREDITS"": 144, ""DATASET"": 48}"
dirichlet_0.1__high,dirichlet_0.1,high,47233068,central_joint_leontief,a2,doc_processing,0.375,0.375,3,5,"{""COMPUTE"": 72, ""MEMORY"": 51, ""DATASET"": 0, ""API_CREDITS"": 32}","{""COMPUTE"": 66, ""MEMORY"": 48, ""DATASET"": 0, ""API_CREDITS"": 30}","{""COMPUTE"": 6, ""MEMORY"": 3, ""DATASET"": 0, ""API_CREDITS"": 2}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 0}","{""COMPUTE"": 256, ""MEMORY"": 192, ""API_CREDITS"": 120, ""DATASET"": 0}"
dirichlet_0.1__high,dirichlet_0.1,high,47233068,central_joint_leontief,a3,code_review,0.75,0.75,6,2,"{""COMPUTE"": 64, ""MEMORY"": 51, ""DATASET"": 0, ""API_CREDITS"": 38}","{""COMPUTE"": 60, ""MEMORY"": 48, ""DATASET"": 0, ""API_CREDITS"": 36}","{""COMPUTE"": 4, ""MEMORY"": 3, ""DATASET"": 0, ""API_CREDITS"": 2}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 0}","{""COMPUTE"": 256, ""MEMORY"": 208, ""API_CREDITS"": 152, ""DATASET"": 0}"
dirichlet_0.1__high,dirichlet_0.1,high,47233068,central_joint_leontief,a4,code_review+monitoring,0.625,0.625,5,3,"{""COMPUTE"": 54, ""MEMORY"": 49, ""DATASET"": 17, ""API_CREDITS"": 24}","{""COMPUTE"": 46, ""MEMORY"": 42, ""DATASET"": 16, ""API_CREDITS"": 20}","{""COMPUTE"": 8, ""MEMORY"": 7, ""DATASET"": 1, ""API_CREDITS"": 4}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 184, ""MEMORY"": 157, ""API_CREDITS"": 98, ""DATASET"": 24}"
dirichlet_0.1__high,dirichlet_0.1,high,47233068,central_joint_leontief,a5,code_review,0.75,0.75,6,2,"{""COMPUTE"": 64, ""MEMORY"": 51, ""DATASET"": 0, ""API_CREDITS"": 38}","{""COMPUTE"": 60, ""MEMORY"": 48, ""DATASET"": 0, ""API_CREDITS"": 36}","{""COMPUTE"": 4, ""MEMORY"": 3, ""DATASET"": 0, ""API_CREDITS"": 2}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 0}","{""COMPUTE"": 256, ""MEMORY"": 208, ""API_CREDITS"": 152, ""DATASET"": 0}"
dirichlet_0.1__high,dirichlet_0.1,high,47233068,distributed_price_leontief,a0,monitoring,0.625,0.625,5,3,"{""COMPUTE"": 41, ""MEMORY"": 46, ""DATASET"": 41, ""API_CREDITS"": 5}","{""COMPUTE"": 40, ""MEMORY"": 45, ""DATASET"": 40, ""API_CREDITS"": 5}","{""COMPUTE"": 1, ""MEMORY"": 1, ""DATASET"": 1, ""API_CREDITS"": 0}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 64, ""MEMORY"": 72, ""API_CREDITS"": 8, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,47233068,distributed_price_leontief,a1,code_review+monitoring+research,0.25,0.375,3,6,"{""COMPUTE"": 58, ""MEMORY"": 49, ""DATASET"": 14, ""API_CREDITS"": 28}","{""COMPUTE"": 52, ""MEMORY"": 43, ""DATASET"": 8, ""API_CREDITS"": 27}","{""COMPUTE"": 6, ""MEMORY"": 6, ""DATASET"": 6, ""API_CREDITS"": 1}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 282, ""MEMORY"": 236, ""API_CREDITS"": 144, ""DATASET"": 48}"
